Area,Title,Description,Priority,Status,Assigned To,Target Date,Change,QE comments,Created by,Created on,Type,Canny
"Receiving line - Add Receiving ",Additional info,"Need to capture shipping info - Shipping info (invoice number, number of boxes, receiving notes, condition) etc
Width and Height fields need to be added to the receiving line",P0,On Production,Sai Nagboth,,,,Phani Yedidi,"Mar 10, 2026",Warehouse,
"Receiving line - Add Receiving ",Overages,"When received quantity is greater than On Order, the system is rounding RIS values and displaying quantities higher than the actual available amount.",P1,In Review,Phani Yedidi,"May 22, 2026",BE,,Umamahesh Mutyala,"Apr 22, 2026",Warehouse,
Receving/Stock Line - Details,,"PO - SO comparison. Missing fields/attributes 
Supplier : doesn’t have value returned
Buyer : doesn’t have value returned",P0,On Production,Krupa Panchal,,,,Phani Yedidi,"Apr 17, 2026",Warehouse,True
Receving/Stock Line - Details,,"Due date is missing on stockline ",P1,To be Defined,Phani Yedidi,"May 22, 2026",,,Phani Yedidi,"Apr 17, 2026",Warehouse,
Receving/Stock Line - Details,,"COO missing in the PO SO comparison ",P0,On Production,Krupa Panchal,,,,Phani Yedidi,"Apr 22, 2026",Warehouse,
Receving/Stock Line - Details,,Add location to list view on Stock WH > Stock > Stock line,P0,On Production,Krupa Panchal,,,,Phani Yedidi,"Apr 22, 2026",Warehouse,
Receving/Stock Line - Details,,"Stock line info pane > ID should be redirected to the details page instead of XCRM ",P0,On Production,Krupa Panchal,,,,Phani Yedidi,"Apr 22, 2026",Warehouse,
Receving/Stock Line - Details,,Description should be made uneditable,P0,On Production,Krupa Panchal,,,,Phani Yedidi,"Apr 22, 2026",Warehouse,
Receving/Stock Line - Details,,"Buyer info is not copied over from PO into receiving lines. role is missing but buyer name is apeparing ",P0,Dev Ready,"Sheikh Habib,Pranab Dutta","May 20, 2026",BE,,Phani Yedidi,"Apr 23, 2026",Warehouse,
Receving/Stock Line - Details,,Copy supplier vendor code and internal supplier code into stock line.,P0,Dev Ready,Nikhil Kumar Singh,"May 20, 2026",BE,,Phani Yedidi,"Apr 23, 2026",Warehouse,
Part Sourcing,Stock Recheck,"1. For stock in Sourcing, create an option in 3 dots called Recheck. Upon this action we need to create a Task assigning to the ICP on the ",P1,May not be Needed,Shivananda Sai,,,,Sai Nagboth,"Mar 2, 2026",Warehouse,false
Receving Line List,"Add xCRM id and link ","Add xCRM id and link to the list view. Make it available in both stock and WH view - ",P0,In progress,"Arvind Dhakar,Sandeep Thatikonda,Sheikh Habib","May 22, 2026","UI,BE",Not shown for Outbound stock lines,Sai Nagboth,"Feb 23, 2026",Warehouse,false
Receving Line List,xCRM Stock ID,"Add XCRM id in the following approach (List view, details view)
RL/SL >= Stocked Stock ID and deeplink with Stock ID 
RL/SL < Stocked the REceiving PO ID 

[Sai] Looks like we will have stock id, may not be upon creation but happens via PO line sync.  Please ensure that it is available",P1,Reopened,"Phani Yedidi,Sheikh Habib","May 22, 2026",BE,Not shown for Outbound stock lines,Phani Yedidi,"Feb 25, 2026",Warehouse,false
