Feature_ID,Feature_Name,Site_Category,Site_Subcategory,Feature_Status,Component,Priority,Source_File,Child_Story_Count,Child_Story_IDs,Stories_Tested_Count,Stories_Verified_Count,Story_Coverage_%,Verified_Pass_Count,QE_Verified,Direct_Feature_In_Release,Matched_Releases,Release_Count,Last_Release_Date,Test_Evidence,Traceability_Status,Coverage_Gap
CHP-1855,Account List View Enhancements,Accounts,,in dev process,,none,2026-05-22T09_09_29.816Z Altir - Chip 1 - Feature And Story Backlogs - Feature Backlog.csv,41,CHP-1195|CHP-1316|CHP-1317|CHP-138|CHP-1843|CHP-1857|CHP-1868|CHP-1950|CHP-1952|CHP-1974|CHP-1987|CHP-1996|CHP-2012|CHP-2275|CHP-2286|CHP-2433|CHP-2559|CHP-2673|CHP-2754|CHP-2822|CHP-2965|CHP-3356|CHP-3403|CHP-3420|CHP-3473|CHP-3489|CHP-3490|CHP-3544|CHP-3567|CHP-3600|CHP-3628|CHP-3631|CHP-3662|CHP-3714|CHP-3715|CHP-3887|CHP-3919|CHP-482|CHP-5635|CHP-761|CHP-935,33,23,80.5,2,YES,NO,01-April26-20260522112825.csv|01-Aug25-hotfix-20260522143031.csv|02-April26-20260522112829.csv|05-Dec24-20260522141700.csv|05-Jan26-20260522112519.csv|05-Jan26-20260522112557.csv|05-May-26-20260522113027.csv|06-Aug25-hotfix-20260522143036.csv|07-Apr25-20260522142924.csv|07-May-26-20260522113031.csv|08-July25-hotfix-20260522143008.csv|10-Sep25-20260522143133.csv|12-Dec25-20260522143516.csv|12-Jan26-20260522112602.csv|12-May26-20260522113043.csv|12th Nov Release-20260522143409.csv|13-Aug25-hotfix-20260522143044.csv|14-Apr26-20260522112905.csv|14-July25-hotfix-20260522143014.csv|15-May26-20260522113056.csv|2-Feb26-20260522112632.csv|20-May26-20260522113100.csv|21-April26-20260522112930.csv|21-May26-20260522113104.csv|22-Aug25-20260522143052.csv|24-Jan26-20260522112618.csv|25-Nov25-20260522143436.csv|27-Jan26-20260522112613.csv|28-April26-20260522113006.csv|28-Feb25-20260522141841.csv|28-Nov25-20260522143443.csv|29-April26-20260522113014.csv|29-Jan26-20260522112622.csv|30-Jan26-20260522112627.csv|31 Oct25-hotfix-20260522143342.csv|8-Dec25 Release-20260522143509.csv|QE Release Notes 2026-20260522112607.csv,37,2026-05-21,[name-match] Sourcing Request enhancement // [name-match] RFQ & Quote enhancement // [name-match] Sourcing Request enhancement // [name-match] RFQ & Quote enhancement,FULLY_TRACED,None
CHP-694,Lookups data migration,General,,in dev process,,none,2026-05-22T09_09_29.816Z Altir - Chip 1 - Feature And Story Backlogs - Feature Backlog.csv,19,CHP-1011|CHP-1252|CHP-1421|CHP-1440|CHP-1441|CHP-1446|CHP-1844|CHP-1846|CHP-1859|CHP-1954|CHP-2198|CHP-2533|CHP-267|CHP-2887|CHP-3451|CHP-3542|CHP-375|CHP-585|CHP-718,15,13,78.9,1,YES,NO,01-Aug25-hotfix-20260522143031.csv|02-April26-20260522112829.csv|05-Jan26-20260522112519.csv|05-Jan26-20260522112557.csv|05-May-26-20260522113027.csv|06-Aug25-hotfix-20260522143036.csv|07-Apr25-20260522142924.csv|07-April26-20260522112847.csv|07-May-26-20260522113031.csv|08-July25-hotfix-20260522143008.csv|08-May-26-20260522113035.csv|12-Jan26-20260522112602.csv|12th Nov Release-20260522143409.csv|13-Aug25-hotfix-20260522143044.csv|14-Apr26-20260522112905.csv|14-July25-hotfix-20260522143014.csv|17-Dec24-20260522141717.csv|2-Feb26-20260522112632.csv|20-May26-20260522113100.csv|24-Jan26-20260522112618.csv|27-Jan26-20260522112613.csv|28-Feb25-20260522141841.csv|29-April26-20260522113014.csv|29-Jan26-20260522112622.csv|30-April26-20260522113019.csv|30-Jan26-20260522112627.csv|QE Release Notes 2026-20260522112607.csv,27,2026-05-20,"[qe-verified] Redis Client Integration // [CHP-1011] Note Pricing – IC
yes // ## PURCHASING SANITY TESTS Production // [CHP-1252] Dashboard - Ignore country code if missing - that was in  hotfix/2024.12.05
//app.clickup.com/t/8651 // [CHP-1440] PO PO User name reconciliation",FULLY_TRACED,None
CHP-2828,Create a Request,Accounts,,in test process,,none,2026-05-22T09_09_29.816Z Altir - Chip 1 - Feature And Story Backlogs - Feature Backlog.csv,36,CHP-1072|CHP-137|CHP-1513|CHP-1632|CHP-1652|CHP-1965|CHP-199|CHP-203|CHP-221|CHP-2213|CHP-238|CHP-242|CHP-2438|CHP-2453|CHP-2493|CHP-250|CHP-2520|CHP-272|CHP-2829|CHP-2830|CHP-2996|CHP-303|CHP-314|CHP-3147|CHP-317|CHP-3546|CHP-377|CHP-3905|CHP-433|CHP-436|CHP-449|CHP-562|CHP-667|CHP-79|CHP-89|CHP-98,17,13,47.2,0,YES,NO,01-Aug25-hotfix-20260522143031.csv|02-April26-20260522112829.csv|05-Jan26-20260522112519.csv|05-Jan26-20260522112557.csv|05-May-26-20260522113027.csv|06-Aug25-hotfix-20260522143036.csv|07-Apr25-20260522142924.csv|08-July25-hotfix-20260522143008.csv|12-Jan26-20260522112602.csv|13-Aug25-hotfix-20260522143044.csv|14-Apr26-20260522112905.csv|14-July25-hotfix-20260522143014.csv|2-Feb26-20260522112632.csv|20-May26-20260522113100.csv|21-April26-20260522112930.csv|22-Aug25-20260522143052.csv|24-Jan26-20260522112618.csv|25-July25(data migration)-20260522143020.csv|25-Nov25-20260522143436.csv|27-Jan26-20260522112613.csv|29-Jan26-20260522112622.csv|30-Jan26-20260522112627.csv|5 Nov25-20260522143348.csv|QE Release Notes 2026-20260522112607.csv,24,2026-05-20,[CHP-1072] ## CRM SANITY TESTS Remarks // ## CRM SANITY TESTS Remarks // [CHP-1513] RFQ Refresh POs list on PO creation // [CHP-1632] PO Sync Account number // PO Sync Account Number is // [CHP-199] ## CRM SANITY TESTS Sorting of tables // ## CRM SANITY TESTS Sorting of tables,FULLY_TRACED,None
CHP-1276,Project - Part Details and Sourcing Plan Export - UI,Parts,,done,,none,2026-05-22T09_09_07.112Z Altir - Chip 1 - Feature And Story Backlogs - Story Backlog.csv,30,CHP-1053|CHP-1164|CHP-1263|CHP-1264|CHP-1756|CHP-1850|CHP-1851|CHP-1970|CHP-2178|CHP-259|CHP-3439|CHP-3453|CHP-3459|CHP-3784|CHP-424|CHP-435|CHP-462|CHP-542|CHP-559|CHP-578|CHP-582|CHP-583|CHP-615|CHP-632|CHP-633|CHP-639|CHP-864|CHP-914|CHP-919|CHP-934,21,19,70.0,2,YES,NO,02-April26-20260522112829.csv|02-Dec24-20260522141654.csv|05-Jan26-20260522112519.csv|05-Jan26-20260522112557.csv|05-May-26-20260522113027.csv|07-Apr25-20260522142924.csv|08-July25-hotfix-20260522143008.csv|12-Jan26-20260522112602.csv|12th Nov Release-20260522143409.csv|14-July25-hotfix-20260522143014.csv|15-May26-20260522113056.csv|2-Feb26-20260522112632.csv|20-May26-20260522113100.csv|21-April26-20260522112930.csv|22-Nov24-20260522141636.csv|24-Jan26-20260522112618.csv|27-Jan26-20260522112613.csv|28-April26-20260522113006.csv|29-Jan26-20260522112622.csv|30-Jan26-20260522112627.csv|31 Oct25-hotfix-20260522143342.csv|31-Dec24-20260522141739.csv|5 Nov25-20260522143348.csv|QE Release Notes 2026-20260522112607.csv,24,2026-05-20,"[qe-verified] Pass Sourcing Type to backend // [qe-verified] Sourcing — Summary tab // [CHP-1053] refactor(account details) Pass Sourcing Type to backend // [CHP-1164] )
//app.clickup.com/t/8651091/CHP-1189
) - Filters is not yet implemented.
//app.clickup.com/t/86510",FULLY_TRACED,None
CHP-2064,Account: Parts tab - Sorting,UI,,done,,none,2026-05-22T09_09_07.112Z Altir - Chip 1 - Feature And Story Backlogs - Story Backlog.csv,25,CHP-1216|CHP-159|CHP-1670|CHP-1673|CHP-1677|CHP-1683|CHP-1810|CHP-1951|CHP-1982|CHP-2035|CHP-2041|CHP-2274|CHP-2277|CHP-2428|CHP-2475|CHP-2844|CHP-2874|CHP-3044|CHP-3474|CHP-3504|CHP-3568|CHP-3710|CHP-3721|CHP-648|CHP-724,16,14,64.0,0,YES,NO,01-Aug25-hotfix-20260522143031.csv|02-April26-20260522112829.csv|05-May-26-20260522113027.csv|06-Aug25-hotfix-20260522143036.csv|07-Apr25-20260522142924.csv|07-May-26-20260522113031.csv|08-July25-hotfix-20260522143008.csv|10-Sep25-20260522143133.csv|12-Jan26-20260522112602.csv|12th Nov Release-20260522143409.csv|13-Aug25-hotfix-20260522143044.csv|14-Apr26-20260522112905.csv|14-July25-hotfix-20260522143014.csv|20-May26-20260522113100.csv|21-April26-20260522112930.csv|22-Aug25-20260522143052.csv|25-July25(data migration)-20260522143020.csv|27-Jan26-20260522112613.csv|28-April26-20260522113006.csv|29-April26-20260522113014.csv|30-April26-20260522113019.csv|31 Oct25-hotfix-20260522143342.csv,22,2026-05-20,"[name-match] Account summary - Redo layout // [name-match] AccountList refactorings // [CHP-1216] ## CRM SANITY TESTS Sorting of tables
yes
yes (few) // PO Sync SPN is // [CHP-1670] ## UI ITEMS Account address modal",FULLY_TRACED,None
CHP-2212,QE:: [CRM] Automate Accounts - Details & Summary,Accounts,,ready for dev,,none,2026-05-22T09_09_29.816Z Altir - Chip 1 - Feature And Story Backlogs - Feature Backlog.csv,24,CHP-1136|CHP-1239|CHP-1485|CHP-1544|CHP-1568|CHP-2366|CHP-2367|CHP-2368|CHP-2369|CHP-2370|CHP-2371|CHP-2372|CHP-2373|CHP-2374|CHP-2375|CHP-2376|CHP-2377|CHP-2378|CHP-2441|CHP-2443|CHP-2450|CHP-2932|CHP-2933|CHP-3179,11,11,45.8,2,YES,NO,01-Aug25-hotfix-20260522143031.csv|02-April26-20260522112829.csv|05-Jan26-20260522112519.csv|05-Jan26-20260522112557.csv|06-Aug25-hotfix-20260522143036.csv|07-Apr25-20260522142924.csv|08-July25-hotfix-20260522143008.csv|12-Jan26-20260522112602.csv|13-Aug25-hotfix-20260522143044.csv|14-Apr26-20260522112905.csv|14-July25-hotfix-20260522143014.csv|2-Feb26-20260522112632.csv|20-May26-20260522113100.csv|21-April26-20260522112930.csv|22-Aug25-20260522143052.csv|24-Jan26-20260522112618.csv|25-July25(data migration)-20260522143020.csv|27-Jan26-20260522112613.csv|29-Jan26-20260522112622.csv|30-Jan26-20260522112627.csv|QE Release Notes 2026-20260522112607.csv,21,2026-05-20,"[qe-verified] Confirmed the accuracy of list view details
yes // [qe-verified] Confirmed the accuracy of list view details
yes // [CHP-2366] PO Sync Account number // [CHP-2369] Note Confirmed the accuracy of list view details
yes // Note Confirmed the accuracy of list view det",FULLY_TRACED,None
CHP-2116,Tasks - Dropdown filter bar for the tasks list view,UI,,created,,none,2026-05-22T09_09_29.816Z Altir - Chip 1 - Feature And Story Backlogs - Feature Backlog.csv,6,CHP-1986|CHP-2006|CHP-2345|CHP-2601|CHP-427|CHP-985,5,5,83.3,0,YES,NO,01-Aug25-hotfix-20260522143031.csv|03-April26-02-20260522112839.csv|03-April26-02-20260522112843.csv|05-Jan26-20260522112519.csv|05-Jan26-20260522112557.csv|06-Aug25-hotfix-20260522143036.csv|08-July25-hotfix-20260522143008.csv|12-Jan26-20260522112602.csv|13-Aug25-hotfix-20260522143044.csv|14-July25-hotfix-20260522143014.csv|15-May26-20260522113056.csv|2-Feb26-20260522112632.csv|20-May26-20260522113100.csv|22-Aug25-20260522143052.csv|24-Jan26-20260522112618.csv|25-July25(data migration)-20260522143020.csv|27-Jan26-20260522112613.csv|29-April26-20260522113014.csv|29-Jan26-20260522112622.csv|30-Jan26-20260522112627.csv|QE Release Notes 2026-20260522112607.csv,21,2026-05-20,"[CHP-1986] ## CRM SANITY TESTS Deep links for Accounts, RFQs, Quotes and Orders
yes
yes // ## CRM SANITY TESTS  // [CHP-2345] update show tags column on list view // [CHP-2601] fixes Default filter sourcing type filter issue on offer list page. // fixes Default filter sourcing // [CHP-427] Contact Details RFQ tab Contact Details — RFQ tab",FULLY_TRACED,None
CHP-2753,Order line Details,UI,,done,,none,2026-05-22T09_09_07.112Z Altir - Chip 1 - Feature And Story Backlogs - Story Backlog.csv,24,CHP-110|CHP-1157|CHP-1362|CHP-1364|CHP-163|CHP-1674|CHP-2435|CHP-2621|CHP-2909|CHP-3022|CHP-3157|CHP-322|CHP-3560|CHP-3570|CHP-3605|CHP-3607|CHP-3797|CHP-3863|CHP-3865|CHP-476|CHP-588|CHP-602|CHP-94|CHP-99,11,7,45.8,16,YES,NO,02-Dec24-20260522141654.csv|05-Jan26-20260522112519.csv|05-Jan26-20260522112557.csv|07-Apr25-20260522142924.csv|12-Jan26-20260522112602.csv|2-Feb26-20260522112632.csv|20-May26-20260522113100.csv|22-April26-hotfix2-20260522112943.csv|22-Aug25-20260522143052.csv|24-April26-hotfix-20260522112953.csv|24-Jan26-20260522112618.csv|27-Jan26-20260522112613.csv|28-April26-20260522113006.csv|28-Nov25-20260522143443.csv|29-April26-20260522113014.csv|29-Jan26-20260522112622.csv|30-Jan26-20260522112627.csv|31-Dec24-20260522141739.csv|8-Dec25 Release-20260522143509.csv|QE Release Notes 2026-20260522112607.csv,20,2026-05-20,"[qe-verified] Confirmed the accuracy of list view details
yes // [qe-verified] Confirmed the accuracy of list view details
yes // [qe-verified] Confirmed the accuracy of list view details // [qe-verified] Confirmed the accuracy of list view details",FULLY_TRACED,None
CHP-2215,RFQ details page and Hero,UI,,done,,none,2026-05-22T09_09_07.112Z Altir - Chip 1 - Feature And Story Backlogs - Story Backlog.csv,23,CHP-1028|CHP-1190|CHP-1664|CHP-1667|CHP-1682|CHP-1757|CHP-2270|CHP-2300|CHP-2347|CHP-2434|CHP-2545|CHP-2865|CHP-319|CHP-3345|CHP-3352|CHP-3358|CHP-3496|CHP-366|CHP-3705|CHP-3899|CHP-485|CHP-532|CHP-88,12,10,52.2,0,YES,NO,01-April26-20260522112825.csv|02-April26-20260522112829.csv|05-Jan26-20260522112519.csv|05-Jan26-20260522112557.csv|08-July25-hotfix-20260522143008.csv|12-Jan26-20260522112602.csv|14-July25-hotfix-20260522143014.csv|2-Feb26-20260522112632.csv|20-May26-20260522113100.csv|22-Aug25-20260522143052.csv|24-Jan26-20260522112618.csv|25-Nov25-20260522143436.csv|27-Jan26-20260522112613.csv|28-April26-20260522113006.csv|29-April26-20260522113014.csv|29-Jan26-20260522112622.csv|30-April26-20260522113019.csv|30-Jan26-20260522112627.csv|QE Release Notes 2026-20260522112607.csv,19,2026-05-20,[name-match] Offer details - Page & Details tab // [CHP-1028] Contact Details RFQ tab Opportunities list // Contact Details RFQ tab RFQ Line Details — Quotes tab // [CHP-1664] refactor(account details) ROHS needs to changed to Apex ROHS // refactor(account details) Pass Sourc // [CHP-1667] Contact Details RFQ tab Opportunities list // Contact Details RFQ tab Purchase Orders — POs tab,FULLY_TRACED,None
CHP-2704,Requests List View,UI,,in test process,,none,2026-05-22T09_09_29.816Z Altir - Chip 1 - Feature And Story Backlogs - Feature Backlog.csv,17,CHP-1612|CHP-1663|CHP-1907|CHP-2120|CHP-2755|CHP-2804|CHP-304|CHP-3220|CHP-595|CHP-601|CHP-609|CHP-628|CHP-629|CHP-672|CHP-680|CHP-841|CHP-878,14,14,82.4,1,YES,NO,05-May-26-20260522113027.csv|07-Apr25-20260522142924.csv|07-May-26-20260522113031.csv|12-Jan26-20260522112602.csv|15-May26-20260522113056.csv|2-Feb26-20260522112632.csv|20-May26-20260522113100.csv|21-April26-20260522112930.csv|24-Jan26-20260522112618.csv|27-Jan26-20260522112613.csv|28-April26-20260522113006.csv|28-Nov25-20260522143443.csv|29-Jan26-20260522112622.csv|30-Jan26-20260522112627.csv|31 Oct25-hotfix-20260522143342.csv|31-March2026-20260522112817.csv|8-Dec25 Release-20260522143509.csv|QE Release Notes 2026-20260522112607.csv,18,2026-05-20,[name-match] Sourcing Request List View Updates // [name-match] Market offers - List view // [name-match] Offers List - List view // [CHP-1663] Contact Details RFQ tab Contacts list,FULLY_TRACED,None
