Req_ID,Req_Name,Component,Release_Count,Hotfix_Count,Traceability_Status,Related_Components,Tags,Severity,Deploy_Touch_Count,Last_Release_Date,Impact_Score,Risk_Level,Blast_Radius
CHP-2438,Prepare to release July 2 (UI),,1,8,DEPLOYED_TESTED,,,,8,2025.07.08,60,HIGH,General | untagged | 8 deploy touches
CHP-2453,"Prepare to release July 2, Part 2",,1,6,DEPLOYED_TESTED,,,,6,2025.07.08,60,HIGH,General | untagged | 6 deploy touches
CHP-2112,Remove timestamp from info cards in CRM,UI,5,0,VERIFIED,,[account-summary],,0,2026-04-03,40,MEDIUM,UI | [account-summary] | 0 deploy touches
CHP-2808,MC1 Sign Up Changes,,2,1,VERIFIED,,,,2,2025.10.31,40,MEDIUM,General | untagged | 2 deploy touches
CHP-3380,Sourcing: UI Integration,,1,1,VERIFIED,,,,1,2025.10.31,40,MEDIUM,General | untagged | 1 deploy touches
CHP-3403,Create Activity: Enhancement,,1,1,VERIFIED,,,,1,2025.10.31,40,MEDIUM,General | untagged | 1 deploy touches
CHP-3407,Order/OrderLines: Show xCRM ID in columns,,1,1,VERIFIED,,,,1,2025.10.31,40,MEDIUM,General | untagged | 1 deploy touches
CHP-3417,Account RFQ: Account Owner Filter,,1,1,VERIFIED,,,,1,2025.10.31,40,MEDIUM,General | untagged | 1 deploy touches
CHP-3420,Update RFQ list view columns,,1,1,VERIFIED,,,,1,2025.10.31,40,MEDIUM,General | untagged | 1 deploy touches
CHP-2803,Account Summary: Company Revenue is showing as $0,,1,1,DEPLOYED_TESTED,,"[account-summary, august_release2, account, account-details]",,1,2025.09.16,40,MEDIUM,"General | [account-summary, august_release2, account, account-details] | 1 deploy touches"
CHP-3061,QE ticket for Account Details Validations-Read only Mode,,1,1,DEPLOYED_TESTED,,,,1,2025.09.16,40,MEDIUM,General | untagged | 1 deploy touches
CHP-2768,QE Release Validations for 13Aug,,1,1,VERIFIED,,,,1,2025.08.13,40,MEDIUM,General | untagged | 1 deploy touches
CHP-2700,QE release validations for august hotfix release 1,,1,1,VERIFIED,,"[august_hf1, bom_health_mail, country_of_origin]",,1,2025.08.06,40,MEDIUM,"General | [august_hf1, bom_health_mail, country_of_origin] | 1 deploy touches"
CHP-2702,Bring the project hero to notification mails for Bom_Health and Project_Share_Copy,,1,1,VERIFIED,,"[august_release1, fab]",,1,2025.08.06,40,MEDIUM,"General | [august_release1, fab] | 1 deploy touches"
CHP-2459,"Prepare to release July 2, Part 3, Global search (UI)",,1,1,DEPLOYED_TESTED,,,,1,2025.07.08,40,MEDIUM,General | untagged | 1 deploy touches
CHP-1743,Mixpanel - Add more events,,1,1,DEPLOYED_TESTED,,,,1,2025.04.01,40,MEDIUM,General | untagged | 1 deploy touches
CHP-2931,QE Release validations for Sep-8,,2,0,VERIFIED,,,High,0,2026-01-30,35,MEDIUM,General | untagged | 0 deploy touches
CHP-3899,Update Info Pane: RFQ and Parts,,1,0,DEPLOYED_TESTED,,,,4,2026-01-27,35,MEDIUM,General | untagged | 4 deploy touches
CHP-3616,Account Card: Add Tags hashtag icon,,2,0,REGRESSION_COVERED,,,,3,2025.12.12,35,MEDIUM,General | untagged | 3 deploy touches
CHP-3654,"Permissions - UI changes for RFQs, Orders And Contacts",,1,0,DEPLOYED_TESTED,,,,3,2025.12.12,35,MEDIUM,General | untagged | 3 deploy touches
CHP-3339,Independent offers - View individual offer details ,,1,0,DEPLOYED_TESTED,,[purchasing],,3,2025.11.25,35,MEDIUM,General | [purchasing] | 3 deploy touches
CHP-3342,Dashboard - Misc updates,,1,0,DEPLOYED_TESTED,,[ui],,3,2025.11.05,35,MEDIUM,General | [ui] | 3 deploy touches
CHP-3439,Project Pricing (CRM): Export,,1,0,VERIFIED,,,,4,2025.11.05,35,MEDIUM,General | untagged | 4 deploy touches
CHP-2834,Don't show 'Hide in MyChip1' for projects uploaded from MC1,,1,0,DEPLOYED_TESTED,,,,4,2025.09.10,35,MEDIUM,General | untagged | 4 deploy touches
CHP-3674,Offers enhancement,,3,0,REGRESSION_COVERED,,[backend],,2,2026.01.05,30,MEDIUM,General | [backend] | 2 deploy touches
