Section,Category,Item_Description,Status_Value,Owner,Links
Metadata,Release Info,Environment,Stage,,
Metadata,Release Info,Status,Good,,
Metadata,Release Info,Prod release owner,"@Umamahesh ,  @Deepti Vaidyula ,  @Harika Guntamukkala",,
Metadata,Release Info,Release date,10.10.2025,,
Metadata,Release Info,Branch,release/2025.10,,
Metadata,Release Info,Connect,No changes,,
Metadata,Release Info,Platform,No changes,,
Metadata,Release Info,Notification, No changes,,
Artefacts,Artefacts,Chip1 MC1 Core,2025.10.10.0,,
Artefacts,Artefacts,Chip1 Part,2025.10.10.1,,
Artefacts,Artefacts,Chip1 Transaction,2025.10.10.0,,
Artefacts,Artefacts,Chip1 WebUI,2025.10.10.1,,
Artefacts,Artefacts,Chip1 Config Server,2025.10.10.0,,
Artefacts,Artefacts,Production Test Data,,,
Artefacts,Artefacts,Update production test data generated here,https://docs.google.com/spreadsheets/d/1jQQV8nW7Rlz6OD6bs4qdRfk517clUb5TRfFz47FoR3s/edit?gid=0#gid=0,,
Artefacts,Artefacts,QE documentation link,https://altirllc.sharepoint.com/:w:/r/sites/Altir-Chip1/Shared%20Documents/General/Quality%20Engineering/Project%20documents/Chip1%20QE%20Documentation.docx?d=w75141a22221e423a9dd922e367268bb5&csf=1&web=1&e=gWiCGh,,
Deployed Items,Private ( https,"//app.clickup.com/t/8651091/CHP-2808
)
//app.clickup.com/t/8651091/CHP-3212
)
//app.clickup.com/t/8651091/CHP-3023
)
//app.clickup.com/t/8651091/CHP-3251
)",,,
Deployed Items,Private ( https,"Bugs in build
//app.clickup.com/t/8651091/CHP-3290
)
//app.clickup.com/t/8651091/CHP-3259
)
//app.clickup.com/t/8651091/CHP-3289
)
//app.clickup.com/t/8651091/CHP-3288
)
//jenkins.chip1.info/job/chip1-e2e-tests/job/chip1-ui-tests/41/cucumber-html-reports_8aee61a9-c742-380b-b7bf-06c49080f4be/overview-features.html
## MC1 SANITY TESTS",,,
Deployed Items,Note,The sanity tests to check will be selected based on the release,,,
Deployed Items,Note,Feature/Flow,,,
Deployed Items,Note,Stage,,,
Deployed Items,Note,Prod,,,
Deployed Items,Note,Remarks,,,
Deployed Items,Note,"New User Signup from mc1
yes
yes",,,
Deployed Items,Note,"On prod, we test this on need basis",,,
Deployed Items,Note,"Mc1 user invite - signup
yes
yes",,,
Deployed Items,Note,On stage should suffice,,,
Deployed Items,Note,"Upload Bom and verify in CRM
yes
yes",,,
Deployed Items,Note,"Upload Excess and verify in CRM
yes
yes",,,
Deployed Items,Note,"Manual RFQ
yes
yes",,,
Deployed Items,Note,"RFQ update
yes
yes",,,
Deployed Items,Note,"RFQ - multiline
yes",,,
Deployed Items,Note,"Active Quote (create)
yes
yes",,,
Deployed Items,Note,"Active Quote (edit)
yes
yes",,,
Deployed Items,Note,Active quote - multiline,,,
Deployed Items,Note,"Sales Order (create)
yes
yes",,,
Deployed Items,Note,"Sales Order (edit)
yes
yes",,,
Deployed Items,Note,"Sales Order - multiline
yes
yes",,,
Deployed Items,Note,"Quality Control (PO number)
yes
yes",,,
Deployed Items,Note,"On prod, we test this on need basis",,,
Deployed Items,Note,"Invoice generation
yes",,,
Deployed Items,Note,"On prod, we test this on need basis",,,
Deployed Items,Note,Invoice generation - shipping in 2 lots,,,
Deployed Items,Note,"On prod, we test this on need basis",,,
Deployed Items,Note,"Lead Account & Transfer
yes
yes",,,
Deployed Items,Note,Bids,,,
Deployed Items,Note,Parts Tracker,,,
Deployed Items,Note,"Search
yes
yes",,,
Deployed Items,Note,"Page Navigations
yes
yes",,,
Deployed Items,Note,"Edit Project
yes
yes",,,
Deployed Items,Note,Notification Emails,,,
Deployed Items,Note,"Download excess and Bom Template, fill and upload.
yes",,,
Deployed Items,Note,"Conceirge Service
yes
yes",,,
Deployed Items,Note,"Sorting
yes
yes",,,
Deployed Items,Note,"Filters
yes
yes",,,
Deployed Items,Note,"Pricing - OEM secrets
yes
yes",,,
Deployed Items,Note,"Pricing - IC
yes
yes",,,
Deployed Items,Note,"Pricing - xcrm
yes
yes",,,
Deployed Items,Note,The sanity tests to check will be selected based on the release,,,
Deployed Items,Note,Feature/Flow,,,
Deployed Items,Note,Stage,,,
Deployed Items,Note,Production,,,
Deployed Items,Note,Remarks,,,
Deployed Items,Note,"Create BOM in MC1, check in xcrm and new crm
yes
yes",,,
Deployed Items,Note,"Create RFQ in MC1, check in xcrm and crm
yes
yes",,,
Deployed Items,Note,"Upload BOM from CRM
yes
yes",,,
Deployed Items,Note,"Page Navigations
yes
yes",,,
Deployed Items,Note,"Deep links for Accounts, RFQs, Quotes and Orders
yes
yes",,,
Deployed Items,Note,"Edit Project
yes",,,
Deployed Items,Note,"Projects - price refresh
yes
yes",,,
Deployed Items,Note,"Global Search
yes
yes",,,
Deployed Items,Note,"Filters
yes
yes",,,
Deployed Items,Note,"Sorting of tables
yes
yes",,,
Deployed Items,Note,"Page Search
yes
yes",,,
Deployed Items,Note,"Download excess and Bom Template, fill and upload.",,,
Deployed Items,Note,Conceirge Service,,,
Deployed Items,Note,"Microdashboard counts
yes
yes",,,
Deployed Items,Note,"Share project and show in mc1
yes
yes",,,
Deployed Items,Note,Create Contact from crm,,,
Deployed Items,Note,Invite Contact from crm,,,
Deployed Items,Note,Create Task,,,
Deployed Items,Note,FAB icons - for all,,,
Deployed Items,Note,FAB - icon actions - Take a note/Activity/Task,,,
Deployed Items,Note,"Light mode - dark mode
yes
yes",,,
Deployed Items,Note,Saved Views,,,
