Section,Category,Item_Description,Status_Value,Owner,Links
Metadata,Release Info,Environment,Stage,,
Metadata,Release Info,Status,Good,,
Metadata,Release Info,Prod release owner,@Umamahesh,,
Metadata,Release Info,Release date,10.10.2025,,
Metadata,Release Info,Branch,hotfix/2025.10,,
Metadata,Release Info,Connect,No changes,,
Metadata,Release Info,Platform,No changes,,
Metadata,Release Info,Notification, No changes,,
Artefacts,Artefacts,Production Test Data,,,
Artefacts,Artefacts,Update production test data generated here,https://docs.google.com/spreadsheets/d/1jQQV8nW7Rlz6OD6bs4qdRfk517clUb5TRfFz47FoR3s/edit?gid=0#gid=0,,
Artefacts,Artefacts,QE documentation link,https://altirllc.sharepoint.com/:w:/r/sites/Altir-Chip1/Shared%20Documents/General/Quality%20Engineering/Project%20documents/Chip1%20QE%20Documentation.docx?d=w75141a22221e423a9dd922e367268bb5&csf=1&web=1&e=gWiCGh,,
Deployed Items,Private ( https,"//app.clickup.com/t/8651091/CHP-3290
)
//jenkins.chip1.info/job/chip1-e2e-tests/job/chip1-ui-tests/42/cucumber-html-reports_8aee61a9-c742-380b-b7bf-06c49080f4be/overview-features.html
## MC1 SANITY TESTS",,,
Deployed Items,jenkins.chip1.info https,Basic Sanity looks good,,,
Deployed Items,## CRM SANITY TESTS,Basic Sanity looks good,,,
