Section,Category,Item_Description,Status_Value,Owner,Links
Metadata,Release Info,Environment,Stage,,
Metadata,Release Info,Status,Good,,
Metadata,Release Info,Prod release owner,@Abhinay Sharma @Harika Guntamukkala,,
Metadata,Release Info,Release date,2025.11.07,,
Metadata,Release Info,DB changes,Connect : No changes,,
Metadata,Release Info,Platform,No changes,,
Metadata,Release Info,Notification, No changes,,
Artefacts,Artefacts,Production Test Data,,,
Artefacts,Artefacts,Update production test data generated here,https://docs.google.com/spreadsheets/d/1jQQV8nW7Rlz6OD6bs4qdRfk517clUb5TRfFz47FoR3s/edit?gid=0#gid=0,,
Artefacts,Artefacts,QE documentation link,https://altirllc.sharepoint.com/:w:/r/sites/Altir-Chip1/Shared%20Documents/General/Quality%20Engineering/Project%20documents/Chip1%20QE%20Documentation.docx?d=w75141a22221e423a9dd922e367268bb5&csf=1&web=1&e=gWiCGh,,
Artefacts,Artefacts,Automation Runs,,,
Artefacts,Artefacts,jenkins.chip1.info https,//jenkins.chip1.info/job/chip1-e2e-tests/job/chip1-ui-tests/47/cucumber-html-reports_8aee61a9-c742-380b-b7bf-06c49080f4be/overview-features.html,,
Artefacts,Artefacts,jenkins.chip1.info https,//jenkins.chip1.info/job/chip1-e2e-tests/job/crm-ui-tests/21/cucumber-html-reports_8aee61a9-c742-380b-b7bf-06c49080f4be/overview-features.html #### TICKETS,,
Artefacts,Artefacts,CHP-3455,“Create Contact” button remains enabled after deselecting Account - Verified Sourcing Enhancements - SS,,
Artefacts,Artefacts,CHP-3492,Add 'inventory' field to sourcing summary - Verified,,
Artefacts,Artefacts,CHP-3463,Update Historical Activity Header Groups - Issue posted,,
Artefacts,Artefacts,CHP-3453,"Enhance Parts, RFQ and RFQ Lines Sourcing - SS - Verified",,
Artefacts,Artefacts,CHP-3442 & CHP-3457,- Part Life cycle and Part Alternative issues -AD & HS- Verified,,
Artefacts,Artefacts,CHP-3473,Contact Details Enhancement -SS- Verified,,
Artefacts,Artefacts,CHP-3467,Refactoring's on Views and User role options- VB,,
Artefacts,Artefacts,CHP-3474,Enhance Account Hero to include account attributes -SS- Verified,,
Artefacts,Artefacts,CHP-3458,- Add contact modal-AD- Verified,,
Artefacts,Artefacts,CHP-3472,Created Follow up task modal-AD- Verified,,
Artefacts,Artefacts,CHP-3468,Added Account Details fab actions to Contact Details -AD- Verified,,
Artefacts,Artefacts,CHP-3273,RFQ status - Adjust keys -VB- Verified RFQ Quote List Status type mismatch,,
Artefacts,Artefacts,CHP-3405,Add CRM deep link functionality-SS- Verified,,
Artefacts,Artefacts,Parts Navigation Menu,- Added Account Parts - BE changes are not integrated(showing as Part activity details not found.),,
Artefacts,Artefacts,CHP-3470,Add new filter and link with Dashboard Cards - VB ( Om to check this),,
Artefacts,Artefacts,Sync issues - Language selector,find the needed option by key to show value if missing,,
Artefacts,Artefacts,CHP-3489,Contact Details Enhancements - SS- Verified Address - Guess US state (short or full form) in a state selector,,
Artefacts,Artefacts,CHP-3481,Sourcing Request: API Integration-SS,,
Artefacts,Artefacts,CHP-3490,Add deep link to AccountCard and Account Info pane-SS- Verified,,
Artefacts,Artefacts,CHP-3491,Add 'MyChip1' chip in contact details hero -SS- Verified,,
Artefacts,Artefacts,Fix,deeplink in orders - Verified,,
Artefacts,Artefacts,CHP-3497,Update Sourcing Page ( ) - Om to test Order Line Status RFQ Status,,
Artefacts,Artefacts,"Currently in the export we are showing prices from only OEMSecrets but with the new changes we will show from all the sources. Here is the ticket, Private ( https",//app.clickup.com/t/8651091/CHP-3471 ) PCN Notification fix in Part Health is also available #### WILL NOT BE ENABLED IN PRODUCTION,,
Artefacts,Artefacts,CHP-3459,Add export button for project pricing in MC1 - SS,,
Artefacts,Artefacts,CHP-3317,Sourcing request integration - Alex [ CHP-3448,,
Artefacts,Artefacts,],Add create a trip modal form- KP - Not available [ CHP-3419 ] - Remove Tasks Step from Create Visit Modal-KP - Not available,,
Artefacts,Artefacts,CHP-3456,Allocation Details on Order Line Details-VB- Not available in Stage,,
Artefacts,Artefacts,CHP-3317,Sourcing request integration - Alex,,
Artefacts,Artefacts,CHP-3451,Offers integration- Alex,,
Artefacts,Artefacts,CHP-3480,Offer info pane - Alex,,
Artefacts,Artefacts,CHP-3423,Account Details - Supplier Info- VB,,
Artefacts,Artefacts,CHP-3451,Offer actions -Alex Bug tickets,,
Artefacts,Artefacts,Private ( https,//app.clickup.com/t/8651091/CHP-3498 ) Order level & Order line level status not showing up → Inbound flow Order not showing up → Outbound flow,,
Artefacts,Artefacts,#### OPEN BUGS, Order Outbound  Status not working RFQ Inbound and outbound Status is not working,,
Artefacts,Artefacts,Private ( https,"//app.clickup.com/t/8651091/CHP-3505 ) xcrm recieved Quote, So not showing up in mc1- need to debug",,
