Section,Category,Item_Description,Status_Value,Owner,Links
Metadata,Release Info,Environment,Stage,,
Metadata,Release Info,Status,Good,,
Metadata,Release Info,Prod release owner,@Deepti Vaidyula,,
Metadata,Release Info,Release date,2025.03.13,,
Metadata,Release Info,DB changes,Connect : No Change,,
Metadata,Release Info,Platform,No Change,,
Metadata,Release Info,Notification, No Change,,
Metadata,Release Info,Branch,WebUI : hotfix/2025.03.13,,
Artefacts,Artefacts,Production Test Data,,,
Artefacts,Artefacts,Update production test data generated here,https://docs.google.com/spreadsheets/d/1jQQV8nW7Rlz6OD6bs4qdRfk517clUb5TRfFz47FoR3s/edit?gid=0#gid=0 ## WHAT'S FIXED IN THE HOT-FIX? Following items are part of the release,,
Artefacts,Artefacts,Private ( https,//app.clickup.com/t/8651091/CHP-1651 ),,
Artefacts,Artefacts,Private ( https,//app.clickup.com/t/8651091/CHP-1693 ) ## SMOKE TESTS Page Navigations Upload BoM RFQ Sales Order Edit Project,,
