Section,Category,Item_Description,Status_Value,Owner,Links
Metadata,Release Info,Environment,Stage,,
Metadata,Release Info,Status,Good,,
Metadata,Release Info,Prod release owner,"@Umamahesh ,  @Harika Guntamukkala ,  @Deepti Vaidyula",,
Metadata,Release Info,Release date,2026.04.15,,
Metadata,Release Info,DB changes,Connect : No change,,
Metadata,Release Info,Platform,No change,,
Metadata,Release Info,Notification, No change,,
Metadata,Release Info,Branch,hotfix/2026.04.15,,
Artefacts,Artefacts,Chip1 Part,2026.04.15.0,,
Artefacts,Artefacts,Chip1 Transaction,2026.04.15.1,,
Artefacts,Artefacts,Chip1 CRM WebUI,2026.04.15.0 ### FOLLOWING ITEMS ARE PART OF THE RELEASE Region name population in Account hero Sourcing fix for Stock details,,
