Section,Category,Item_Description,Status_Value,Owner,Links
Metadata,Release Info,Environment,Stage,,
Metadata,Release Info,Status,Good,,
Metadata,Release Info,Prod release owner,"@Deepti Vaidyula ,  @Umamahesh @Harika Guntamukkala",,
Metadata,Release Info,elease date,2026.03.017,,
Metadata,Release Info,DB changes,Connect : No change,,
Metadata,Release Info,Platform,release/2026.03.17,,
Metadata,Release Info,Notification, release/2026.03.17,,
Metadata,Release Info,Branch,release/2026.03.17,,
Artefacts,Artefacts,Chip1 Transaction,2026.03.17.1,,
Artefacts,Artefacts,Chip1 CRM WebUI,2026.03.17.6,,
Artefacts,Artefacts,fn-connect,2026.03.17.0,,
Artefacts,Artefacts,fn-notification-common-service,2026.03.17.0,,
Artefacts,Artefacts,Production Test Data,,,
Artefacts,Artefacts,Update production test data generated here,https://docs.google.com/spreadsheets/d/1jQQV8nW7Rlz6OD6bs4qdRfk517clUb5TRfFz47FoR3s/edit?gid=0#gid=0,,
Artefacts,Artefacts,QE documentation link,https://altirllc.sharepoint.com/:w:/r/sites/Altir-Chip1/Shared%20Documents/General/Quality%20Engineering/Project%20documents/Chip1%20QE%20Documentation.docx?d=w75141a22221e423a9dd922e367268bb5&csf=1&web=1&e=gWiCGh ### FOLLOWING ITEMS ARE PART OF THE RELEASE Deployed  tickets as part of the release 2026.03.11 Validation of all the above release items will be performed from QE team once it is deployed ## WHAT'S TESTED FOR THE RELEASE? - open parts info pane for sales RFQ when hasAccessToDetails is false - All Accounts added under feature flag till stage - Fixed View PDF to open xCRM page - Export PDF fixed for quotes Fix for Buyer's KPI crash issue Updated condition for displaying start QC FAB Minor fix for updating stockline status when PO Line is marked as approved toggle offer match cards(based on feedback) only till Stage rohs field issue on PO and Offer line details Open issues on Stage,,
Artefacts,Artefacts,Private ( https,//app.clickup.com/8651091/docs/880ak-50654/880ak-52214 ),,
Artefacts,Artefacts,Issues on prod,,,
