Section,Category,Item_Description,Status_Value,Owner,Links
Metadata,Release Info,Environment,Stage,,
Metadata,Release Info,Status,Good,,
Metadata,Release Info,Prod release owner,"@Deepti Vaidyula ,  @Umamahesh @Harika Guntamukkala",,
Metadata,Release Info,Release date,2026.03.18,,
Metadata,Release Info,DB changes,Connect : release/2026.03.18,,
Metadata,Release Info,Platform,No change,,
Metadata,Release Info,Notification, release/2026.03.18,,
Metadata,Release Info,Branch,release/2026.03.18,,
Artefacts,Artefacts,Chip1 Transaction,2026.03.18.5,,
Artefacts,Artefacts,Chip1 CRM WebUI,2026.03.18.5,,
Artefacts,Artefacts,fn-connect,2026.03.18.1,,
Artefacts,Artefacts,fn-connect,2026.03.18.2,,
Artefacts,Artefacts,Production Test Data,,,
Artefacts,Artefacts,Update production test data generated here,https://docs.google.com/spreadsheets/d/1jQQV8nW7Rlz6OD6bs4qdRfk517clUb5TRfFz47FoR3s/edit?gid=0#gid=0,,
Artefacts,Artefacts,QE documentation link,https://altirllc.sharepoint.com/:w:/r/sites/Altir-Chip1/Shared%20Documents/General/Quality%20Engineering/Project%20documents/Chip1%20QE%20Documentation.docx?d=w75141a22221e423a9dd922e367268bb5&csf=1&web=1&e=gWiCGh ### FOLLOWING ITEMS ARE PART OF THE RELEASE Deployed  tickets as part of the release 2026.03.11 Validation of all the above release items will be performed from QE team once it is deployed ## WHAT'S TESTED FOR THE RELEASE? - Verified Changed label preferences text,,
Artefacts,Artefacts,blackLabels,Black Labels Accepted,,
Artefacts,Artefacts,blankLabels,Blank Labels Accepted,,
Artefacts,Artefacts,partialReel,Partial Reels/Tubes Accepted,,
Artefacts,Artefacts,noLabelsOk,Missing Manufacturer Labels Accepted,,
Artefacts,Artefacts,Record Offer,"unit price should be required field Added HK Stock and CN Stock to Sourcing Summary page Populate fundcode from RFQ to Quote create screen and make it readonly In Account hero location - need to show only the ""city, state"" In-app & email notification for comments rfq line fab - changed icon for create sourcing request action Market offer inbound fixes raised by Uma Validation for price > 0 in Quote screen SR  Request line details island - add market condition field create offers and create sr modal - clubbed black Labels , Missing Mfr Label and partialReels Label fields into single label preferences multi select field Cross check SO validations are skipped as before SO (Talk to Tejaswini) Create to details → Inco terms and shipping details not getting carried over",,
Artefacts,Artefacts,QE remarks, Inco terms  are carry forwarded.,,
Artefacts,Artefacts,shipping details," Shipping contact email and phone number is not displayed in the UI but BE has it. Account approval does not seem to be carried over from Account (e.g., order created in Altir Test Account -US - 6731b29efed56026ca64374b)",,
Artefacts,Artefacts,QE remarks,"Verified. Tested with account which already has approvals. Defaulting of shipping contact to primary contact if not found - verified Connect Bug fix for Quote not syncing for Account created on xCRM - Existing issue that tested in the morning  - verified (direct quote, quote from offer, IB quote) Zohaib reported in few cases, ROHS is sent as array, fix for it.(can explain this, not always only in particular flow) - verified. No sync for rohs.",,
Artefacts,Artefacts,IB quote,US26QU00294 - Rohs in line details is ROHS2 in Apex UI,,
Artefacts,Artefacts,"""rohs""",{,,
Artefacts,Artefacts,"""namespace""","""common"",",,
Artefacts,Artefacts,"""scope""","""en"",",,
Artefacts,Artefacts,"""category""","""compliance"",",,
Artefacts,Artefacts,"""key""","""rohs2"",",,
Artefacts,Artefacts,"""value""","""ROHS 2"" },",,
Artefacts,Artefacts,OB quote,US26QU00295 → XCRM shows this as 'Undefined',,
Artefacts,Artefacts,"""rohs""",{,,
Artefacts,Artefacts,"""namespace""","""common"",",,
Artefacts,Artefacts,"""scope""","""en"",",,
Artefacts,Artefacts,"""category""","""compliance"",",,
Artefacts,Artefacts,"""key""","""rohs1"",",,
Artefacts,Artefacts,"""value""","""ROHS 1"" }, Account OB mapping for lookups for payment terms and few as shared in screenshot, only mentioned lookups in the screenshot(reported by Zohaib) - Working. Missing for qc.level2 - will pick this later - link Open issues on Stage",,
Artefacts,Artefacts,Private ( https,//app.clickup.com/8651091/docs/880ak-50654/880ak-52214 ),,
Artefacts,Artefacts,Issues on stage,- Link Issue Description Remarks,,
Artefacts,Artefacts,Teams #,March18_06,,
Artefacts,Artefacts,SO, Create to details → Inco terms and shipping details not getting carried over,,
Artefacts,Artefacts,QE remarks,,,
Artefacts,Artefacts,For Shipping Details -> Shipping contact email and phone number is not displayed in the UI but BE has it. -This needs UI fix. CC,"Alexey Duduk, Vinay Bajjuri, Sandeep Thatikonda, Abhinay Sharma",,
Artefacts,Artefacts,Teams #,"March18_07 Account OB mapping for lookups for payment terms and few as shared in screenshot, only mentioned lookups in the screenshot(reported by Zohaib) - Working. Missing for qc.level2 Fixed",,
Artefacts,Artefacts,Teams #,March18_08 Clicking on 'Approved For Sales' from account -> Fab gives 500 error,,
Artefacts,Artefacts,Issues on prod,"- Link Issue Description Remarks Teams Link Causing Impact"" section in the Dashboard page keeps loading. Teams Link Default customer 'Need By' date is coming as past date (yesterday's date). I think because of time difference.",,
Artefacts,Artefacts,Impact,"When SR is created from RFQ which didn't have need by date, it's taking yesterday's date.",,
