Section,Category,Item_Description,Status_Value,Owner,Links
Metadata,Release Info,Environment,Stage,,
Metadata,Release Info,Status,Good,,
Metadata,Release Info,Prod release owner,@Umamahesh,,
Metadata,Release Info,Release date,2025.11.19,,
Metadata,Release Info,DB changes,Branch : release/2025.11.19.1,,
Artefacts,Artefacts,chip1-transaction,2025.11.19.1,,
Artefacts,Artefacts,chip1-crm-webui,2025.11.19.1,,
Artefacts,Artefacts,Production Test Data,,,
Artefacts,Artefacts,Update production test data generated here,https://docs.google.com/spreadsheets/d/1jQQV8nW7Rlz6OD6bs4qdRfk517clUb5TRfFz47FoR3s/edit?gid=0#gid=0,,
Artefacts,Artefacts,QE documentation link,https://altirllc.sharepoint.com/:w:/r/sites/Altir-Chip1/Shared%20Documents/General/Quality%20Engineering/Project%20documents/Chip1%20QE%20Documentation.docx?d=w75141a22221e423a9dd922e367268bb5&csf=1&web=1&e=gWiCGh,,
Artefacts,Artefacts,Changes Involved,,,
Artefacts,Artefacts,Private ( https,//app.clickup.com/t/8651091/CHP-3535 ),,
Artefacts,Artefacts,Private ( https,//app.clickup.com/t/8651091/CHP-3542 ),,
Artefacts,Artefacts,Bugs in Build, Can we rename Sales Request to RFQ in all paces. There are still lot of places we are using Sales Request. - UI - Still seeing as sales request in sourcing requests details,,
Artefacts,Artefacts,Bugs in production,,,
Artefacts,Artefacts,Private ( https,//app.clickup.com/t/8651091/CHP-3543 ),,
Artefacts,Artefacts,Private ( https,//app.clickup.com/t/8651091/CHP-3537 ),,
