Section,Category,Item_Description,Status_Value,Owner,Links
Metadata,Release Info,Environment,Stage,,
Metadata,Release Info,Status,Good,,
Metadata,Release Info,Prod release owner,@Umamahesh @Deepti Vaidyula,,
Metadata,Release Info,Release date,2024.12.20,,
Metadata,Release Info,DB changes,Connect : release/2024.12.20,,
Metadata,Release Info,Branch,No change,,
Deployed Items,Private ( https,"//app.clickup.com/t/8651091/CHP-1283
)
## TESTING NOTES",,,
Deployed Items,Private ( https,Raise a quote in mc1,,,
Deployed Items,Private ( https,Update the corresponding requirement in crm,,,
Deployed Items,Private ( https,An active quote is visible in the mc1,,,
Deployed Items,Private ( https,Update the quote in crm and the changes should be reflected in mc1,,,
Deployed Items,Private ( https,Create a SO from the quote in crm,,,
Deployed Items,Private ( https,"Update the SO and the changes should be reflected in mc1
#### SMOKE TESTS",,,
Deployed Items,Private ( https,Feature/Flow,,,
Deployed Items,Private ( https,Stage,,,
Deployed Items,Private ( https,Prod,,,
Deployed Items,Private ( https,New User Signup,,,
Deployed Items,Private ( https,Yes,,,
Deployed Items,Private ( https,Yes,,,
Deployed Items,Private ( https,Upload Bom & Excess,,,
Deployed Items,Private ( https,Yes,,,
Deployed Items,Private ( https,Yes,,,
Deployed Items,Private ( https,Manual RFQ,,,
Deployed Items,Private ( https,Yes,,,
Deployed Items,Private ( https,Yes,,,
Deployed Items,Private ( https,Active Quote,,,
Deployed Items,Private ( https,Yes,,,
Deployed Items,Private ( https,Yes,,,
Deployed Items,Private ( https,Sales Order,,,
Deployed Items,Private ( https,Yes,,,
Deployed Items,Private ( https,Yes,,,
Deployed Items,Private ( https,Lead Account & Transfer,,,
Deployed Items,Private ( https,Yes,,,
Deployed Items,Private ( https,Yes,,,
Deployed Items,Private ( https,Bids,,,
Deployed Items,Private ( https,Yes,,,
Deployed Items,Private ( https,NA,,,
Deployed Items,Private ( https,Parts Tracker,,,
Deployed Items,Private ( https,Yes,,,
Deployed Items,Private ( https,Yes,,,
Deployed Items,Private ( https,Search,,,
Deployed Items,Private ( https,Yes,,,
Deployed Items,Private ( https,Yes,,,
Deployed Items,Private ( https,Page Navigations,,,
Deployed Items,Private ( https,Yes,,,
Deployed Items,Private ( https,Yes,,,
