Section,Category,Item_Description,Status_Value,Owner,Links
Metadata,Release Info,Environment,Stage,,
Metadata,Release Info,Status,Good,,
Metadata,Release Info,Prod release owner,"@Umamahesh ,  @Deepti Vaidyula ,  @Harika Guntamukkala",,
Metadata,Release Info,Release date,2025.08.22,,
Metadata,Release Info,DB changes,Connect : release/2025.08.22,,
Metadata,Release Info,Platform,release/2025.08.22,,
Metadata,Release Info,Notification, release/2025.08.22,,
Metadata,Release Info,Branch,release/2025.08.22,,
Artefacts,Artefacts,Chip1 Account,2025.08.22.0,,
Artefacts,Artefacts,Chip1 MC1 Core,2025.08.22.0,,
Artefacts,Artefacts,Chip1 Part,2025.08.22.0,,
Artefacts,Artefacts,Chip1 Transaction,2025.08.22.4,,
Artefacts,Artefacts,Chip1 WebUI,2025.08.22.1,,
Artefacts,Artefacts,Chip1 CRM WebUI,2025.08.22.1,,
Artefacts,Artefacts,Production Test Data,,,
Artefacts,Artefacts,Update production test data generated here,https://docs.google.com/spreadsheets/d/1jQQV8nW7Rlz6OD6bs4qdRfk517clUb5TRfFz47FoR3s/edit?gid=0#gid=0,,
Artefacts,Artefacts,QE documentation link,https://altirllc.sharepoint.com/:w:/r/sites/Altir-Chip1/Shared%20Documents/General/Quality%20Engineering/Project%20documents/Chip1%20QE%20Documentation.docx?d=w75141a22221e423a9dd922e367268bb5&csf=1&web=1&e=gWiCGh,,
Deployed Items,General,CRM Contact Details,,,
Deployed Items,General,CRM RFQ Details - rfq→ xcrm issue,,,
Deployed Items,General,Account Hierarchy - issues,,,
Deployed Items,General,Fab Button,,,
Deployed Items,General,MC1 Private Options - Done,,,
Deployed Items,General,"BOM Health email limiting to 30 lines
//app.clickup.com/t/8651091/CHP-2831
)- Edit contact not enabled yet on production
//app.clickup.com/t/8651091/CHP-2825
) - Edit contact not enabled yet on production
//app.clickup.com/t/8651091/CHP-2811
)
//app.clickup.com/t/8651091/CHP-2789
)
//app.clickup.com/t/8651091/CHP-2787
)
//app.clickup.com/t/8651091/CHP-2786
)
//app.clickup.com/t/8651091/CHP-2785
)
//app.clickup.com/t/8651091/CHP-2776
)
//app.clickup.com/t/8651091/CHP-2775
)
//app.clickup.com/t/8651091/CHP-2774
)
//app.clickup.com/t/8651091/CHP-2770
)
//app.clickup.com/t/8651091/CHP-2769
)
//app.clickup.com/t/8651091/CHP-2703
)
//app.clickup.com/t/8651091/CHP-2685
)
//app.clickup.com/t/8651091/CHP-2677
)
//app.clickup.com/t/8651091/CHP-2666
)
//app.clickup.com/t/8651091/CHP-2664
)- Edit RFQ not enabled yet on production
//app.clickup.com/t/8651091/CHP-2659
)
//app.clickup.com/t/8651091/CHP-2658
)
//app.clickup.com/t/8651091/CHP-2657
)
//app.clickup.com/t/8651091/CHP-2655
)
//app.clickup.com/t/8651091/CHP-2654
)
//app.clickup.com/t/8651091/CHP-2649
)
//app.clickup.com/t/8651091/CHP-2648
)
//app.clickup.com/t/8651091/CHP-2643
)
//app.clickup.com/t/8651091/CHP-2637
)
//app.clickup.com/t/8651091/CHP-2636
)
//app.clickup.com/t/8651091/CHP-2607
)
//app.clickup.com/t/8651091/CHP-2605
)
//app.clickup.com/t/8651091/CHP-2603
)
//app.clickup.com/t/8651091/CHP-2570
)
//app.clickup.com/t/8651091/CHP-2569
)
//app.clickup.com/t/8651091/CHP-2567
)
//app.clickup.com/t/8651091/CHP-2565
)
//app.clickup.com/t/8651091/CHP-2561
)
//app.clickup.com/t/8651091/CHP-2546
)
//app.clickup.com/t/8651091/CHP-2535
)
//app.clickup.com/t/8651091/CHP-2521
)
//app.clickup.com/t/8651091/CHP-2517
)
//app.clickup.com/t/8651091/CHP-2500
)
//app.clickup.com/t/8651091/CHP-2492
)
//app.clickup.com/t/8651091/CHP-2482
)
//app.clickup.com/t/8651091/CHP-2253
)
//app.clickup.com/t/8651091/CHP-1334
)
//app.clickup.com/t/8651091/CHP-2271
)
//app.clickup.com/t/8651091/CHP-2436
)
//app.clickup.com/t/8651091/CHP-2534
) - next release
//app.clickup.com/t/8651091/CHP-2278
)- next release
//app.clickup.com/t/8651091/CHP-1700
)
//app.clickup.com/t/8651091/CHP-2303
)
//app.clickup.com/t/8651091/CHP-2472
)
//app.clickup.com/t/8651091/CHP-2434
) - 6 subtasks - next release
//app.clickup.com/t/8651091/CHP-2662
) - Can be tested once RFQ edit is enabled.
//app.clickup.com/t/8651091/CHP-2621
)
//app.clickup.com/t/8651091/CHP-2743
)
//app.clickup.com/t/8651091/CHP-2435
)
//app.clickup.com/t/8651091/CHP-2433
)
//app.clickup.com/t/8651091/CHP-2463
)
//app.clickup.com/t/8651091/CHP-2471
)
//app.clickup.com/t/8651091/CHP-2501
)
//app.clickup.com/t/8651091/CHP-2472
)
//app.clickup.com/t/8651091/CHP-2499
)
//app.clickup.com/t/8651091/CHP-2483
)
//app.clickup.com/t/8651091/CHP-2502
)
//app.clickup.com/t/8651091/CHP-2219
)
//app.clickup.com/t/8651091/CHP-2518
)
//app.clickup.com/t/8651091/CHP-2521
)
//app.clickup.com/t/8651091/CHP-2822
)
//app.clickup.com/t/8651091/CHP-2703
)
//app.clickup.com/t/8651091/CHP-2492
)
//app.clickup.com/t/8651091/CHP-2458
)
//app.clickup.com/t/8651091/CHP-2258
)
//app.clickup.com/t/8651091/CHP-2252
)
//app.clickup.com/t/8651091/CHP-2250
)
//app.clickup.com/t/8651091/CHP-2796
)
account created on Xcrm not showing up in CRM(new) -- fixed but keeping it open for investigation",,,
Deployed Items,CHP-2840,Sync missing even after contact joined to mc1,,,
Deployed Items,CHP-2841,RFQs created are not getting the requirement ID on prod,,,
Deployed Items,CHP-2839,Account Hierarchy: Seeing errors while adding child and parent on crm-prod,,,
Deployed Items,CHP-2837,"Activity raised entity is throwing ""Oops! Data didn’t load as expected."" error in UI when trying to open FAB for that entity -- Fixed",,,
Deployed Items,CHP-2253,"Contacts: Status Filter Not Working in Quote Requests
## MC1 SANITY TESTS",,,
Deployed Items,CHP-2253,Feature/Flow,,,
Deployed Items,CHP-2253,Stage,,,
Deployed Items,CHP-2253,Prod,,,
Deployed Items,CHP-2253,Remarks,,,
Deployed Items,CHP-2253,"New User Signup from mc1
yes
yes",,,
Deployed Items,CHP-2253,"Mc1 user invite - signup
yes
yes",,,
Deployed Items,CHP-2253,On stage should suffice,,,
Deployed Items,CHP-2253,"Upload Bom & Excess and verify in CRM
yes
yes",,,
Deployed Items,CHP-2253,"Manual RFQ
yes
yes",,,
Deployed Items,CHP-2253,"Active Quote (create, edit)
yes
yes",,,
Deployed Items,CHP-2253,"Sales Order
(create, edit)
yes
yes",,,
Deployed Items,CHP-2253,"Lead Account & Transfer
yes
issue",,,
Deployed Items,CHP-2253,"Bids
yes",,,
Deployed Items,CHP-2253,"Parts Tracker
yes",,,
