Section,Category,Item_Description,Status_Value,Owner,Links
Metadata,Release Info,Environment,Stage,,
Metadata,Release Info,Status,Good,,
Metadata,Release Info,Prod release owner,"@Umamahesh ,  @Deepti Vaidyula ,  @Harika Guntamukkala",,
Metadata,Release Info,Release date,2026.01.25,,
Artefacts,Artefacts,Platform,release/2026.01.24,,
Artefacts,Artefacts,Notification, No changes,,
Artefacts,Artefacts,Branch,release/2026.01.24,,
Artefacts,Artefacts,Production Test Data,,,
Artefacts,Artefacts,Update production test data generated here,https://docs.google.com/spreadsheets/d/1jQQV8nW7Rlz6OD6bs4qdRfk517clUb5TRfFz47FoR3s/edit?gid=0#gid=0,,
Artefacts,Artefacts,QE documentation link,https://altirllc.sharepoint.com/:w:/r/sites/Altir-Chip1/Shared%20Documents/General/Quality%20Engineering/Project%20documents/Chip1%20QE%20Documentation.docx?d=w75141a22221e423a9dd922e367268bb5&csf=1&web=1&e=gWiCGh,,
Deployed Items,Private ( https,"//app.clickup.com/t/8651091/CHP-3668
)
//app.clickup.com/t/8651091/CHP-3673",,,
Deployed Items,Private ( https,")
//app.clickup.com/t/8651091/CHP-3753",,@Harika Guntamukkala,
Deployed Items,Private ( https,")
devOnly
//app.clickup.com/t/8651091/CHP-3760",,@Umamahesh,
Deployed Items,Private ( https,")
devOnly
//app.clickup.com/t/8651091/CHP-3786",,@Umamahesh,
Deployed Items,Private ( https,),,@Deepti Vaidyula,
Deployed Items,Private ( https,"Keeping it open for fixes in other pages. Tested pages in scope for the release.
//app.clickup.com/t/8651091/CHP-3832",,,
Deployed Items,Private ( https,")
//app.clickup.com/t/8651091/CHP-3862",,@Harika Guntamukkala,
Deployed Items,Private ( https,")
//app.clickup.com/t/8651091/CHP-3865",,@Harika Guntamukkala,
Deployed Items,Private ( https,")
//app.clickup.com/t/8651091/CHP-3867",,@Deepti Vaidyula,
Deployed Items,Private ( https,),,@Deepti Vaidyula,
Deployed Items,Private ( https,"Closed. Bug is no longer valid as we have new filters design.
//app.clickup.com/t/8651091/CHP-3872",,,
Deployed Items,Private ( https,),,@Deepti Vaidyula,
Deployed Items,Private ( https,"Alternatives Drop down - This section is not yet implemented.
//app.clickup.com/t/8651091/CHP-3878",,,
Deployed Items,Private ( https,")
//app.clickup.com/t/8651091/CHP-3879",,@Harika Guntamukkala,
Deployed Items,Private ( https,")
//app.clickup.com/t/8651091/CHP-3881",,@Harika Guntamukkala,
Deployed Items,Private ( https,")
//app.clickup.com/t/8651091/CHP-3882",,@Deepti Vaidyula,
Deployed Items,Private ( https,")
//app.clickup.com/t/8651091/CHP-3883",,"@Deepti Vaidyula, @Umamahesh",
Deployed Items,Private ( https,),,@Harika Guntamukkala,
Deployed Items,Private ( https,"Back to Dev
//app.clickup.com/t/8651091/CHP-3886",,,
Deployed Items,Private ( https,")
//app.clickup.com/t/8651091/CHP-3887",,@Umamahesh,
Deployed Items,Private ( https,),,@Deepti Vaidyula,
Deployed Items,Private ( https,"Send quote option in 3 dots for any quote
//app.clickup.com/t/8651091/CHP-3889",,,
Deployed Items,Private ( https,")
//app.clickup.com/t/8651091/CHP-3898",,@Deepti Vaidyula,
Deployed Items,Private ( https,")
//app.clickup.com/t/8651091/CHP-3886",,@Deepti Vaidyula,
Deployed Items,Private ( https,),,@Umamahesh,
Deployed Items,## BACKEND,"PO Sync
//app.clickup.com/t/8651091/CHP-3857",,,
Deployed Items,),Implement notes indicator in entities,,@Harika Guntamukkala,
Deployed Items,),"Back to Dev
//app.clickup.com/t/8651091/CHP-3903",,@Harika Guntamukkala,
Deployed Items,),"Introduce regionName in account
//app.clickup.com/t/8651091/CHP-3904",,@Harika Guntamukkala,
Deployed Items,),Part Sourcing User Feedback  - done in PR (BE) are part of release,,@Harika Guntamukkala,
Deployed Items,),"Back to Dev
//app.clickup.com/t/8651091/CHP-3905",,@Harika Guntamukkala,
Deployed Items,),Create SR from SO,,@Umamahesh,
Deployed Items,CHP-3882,RFQ - Add fund code (Currency) in Create RFQ modal (Already added in UI list),,@Deepti Vaidyula,
Deployed Items,CHP-3872,"Alternatives Drop down - This section is not yet implemented.
//app.clickup.com/t/8651091/CHP-3907
)",,,
Deployed Items,(crm/rfq-quote),allow multiple quote to SO creation,,@Deepti Vaidyula,
Deployed Items,(crm/sr),"remove targetPriceMet from sr contract
devOnly",,@Umamahesh,
Deployed Items,(crm/sr),Create quote modal (from Offers) - don't navigate away if Cancel is clicked,,@Umamahesh,
Deployed Items,feat(crm/rfq),Orders - Override isItemClosed filter to skip,,@Deepti Vaidyula,
Deployed Items,feat(links),"add links to MPNs in tables and account cards in info panes
implement new fiter design for visits and trips (",,@Harika Guntamukkala,
Deployed Items,feat(visits),")
add default sorting option to MarketActivityTable component (",,@Harika Guntamukkala,
Deployed Items,feat,")
enable non-blocking navigation on production (
)
remove autoSelect from all fields (
)
allow multiple lines while creating rfq (
)
filter definitions in new filter design (
)",,@Harika Guntamukkala,
Deployed Items,Fix,"Fixes to columns (xCRM ID width, resize in POs, show resizer on header row hover) (
)",,,
Deployed Items,Fix,Global Search - Advanced link (,,,
Deployed Items,Fix,),,@Harika Guntamukkala,
Deployed Items,Fix,Integrate Allocation summary column (,,,
Deployed Items,Fix,),,@Umamahesh,
Deployed Items,Fix,List view - Quick actions menu - P1 (,,,
Deployed Items,Fix,),,@Deepti Vaidyula,
Deployed Items,Fix,"Minor fixed and improvements (
)",,,
Deployed Items,Fix,"Navigation improvements - Don't block navigation by data fetch (Projects, Accounts, Contacts) (",,,
Deployed Items,Fix,),,@Harika Guntamukkala,
Deployed Items,Fix,Navigation improvements - non-blocking navigations on Orders (,,,
Deployed Items,Fix,),,@Deepti Vaidyula,
Deployed Items,Fix,Navigation improvements - RFQs refactoring (,,,
Deployed Items,Fix,),,@Deepti Vaidyula,
Deployed Items,Navigation improvements,RFQs lists (high and tab levels) (,,,
Deployed Items,Navigation improvements,),,@Deepti Vaidyula,
Deployed Items,Non-blocking navigation,"core code and dashboard (
)",no changes in behavior) (,,
Deployed Items,Non-blocking navigation,Order Line Add Sourcing Request (,,,
Deployed Items,Non-blocking navigation,),,@Umamahesh,
Deployed Items,Orders,Enable permissions for Update Approvals and Update Status (,,,
Deployed Items,Orders,),,@Umamahesh,
Deployed Items,Orders,PO Line - Fix expected delivery date validation (,,,
Deployed Items,Orders,),,@Umamahesh,
Deployed Items,PO,Store address in warehouse (,,,
Deployed Items,PO,),,@Umamahesh,
Deployed Items,PO,RFQ & RFQ Line - Orders tab (,,,
Deployed Items,PO,),,@Deepti Vaidyula,
Deployed Items,PO,Rfq level Order tab is not present,,,
Deployed Items,PO,RFQ and Sourcing Request feedback (,,,
Deployed Items,PO,),,@Umamahesh,
Deployed Items,PO,RFQ and Sourcing Request feedback - P2 (,,,
