Section,Category,Item_Description,Status_Value,Owner,Links
Metadata,Release Info,Environment,Stage,,
Metadata,Release Info,Status,Good,,
Metadata,Release Info,Prod release owner,@Deepti Vaidyula,,
Metadata,Release Info,Release date,2025.08.25,,
Metadata,Release Info,DB changes,Connect : No changes,,
Metadata,Release Info,Platform,No changes,,
Metadata,Release Info,Notification, No changes,,
Metadata,Release Info,Branch,hotfix/2025.08.25,,
Artefacts,Artefacts,Production Test Data,,,
Artefacts,Artefacts,Update production test data generated here,https://docs.google.com/spreadsheets/d/1jQQV8nW7Rlz6OD6bs4qdRfk517clUb5TRfFz47FoR3s/edit?gid=0#gid=0,,
Artefacts,Artefacts,QE documentation link,https://altirllc.sharepoint.com/:w:/r/sites/Altir-Chip1/Shared%20Documents/General/Quality%20Engineering/Project%20documents/Chip1%20QE%20Documentation.docx?d=w75141a22221e423a9dd922e367268bb5&csf=1&web=1&e=gWiCGh,,
Deployed Items,General,Log Level updated to Debug for chip1-account,,,
Deployed Items,General,"Added index for Ultimate Parent for Accounts
## MC1 SANITY TESTS",,,
Deployed Items,General,Feature/Flow,,,
Deployed Items,General,Stage,,,
Deployed Items,General,Prod,,,
Deployed Items,General,Remarks,,,
Deployed Items,General,"New User Signup from mc1
yes",,,
Deployed Items,General,"Mc1 user invite - signup
yes",,,
Deployed Items,General,On stage should suffice,,,
Deployed Items,General,"Upload Bom & Excess and verify in CRM
yes (bom)
yes",,,
Deployed Items,General,"Manual RFQ
yes
yes",,,
Deployed Items,General,"Active Quote (create, edit)",,,
Deployed Items,General,"Sales Order
(create, edit)",,,
Deployed Items,General,Shipping & invoice,,,
Deployed Items,General,Lead Account & Transfer,,,
Deployed Items,General,Bids,,,
Deployed Items,General,Parts Tracker,,,
Deployed Items,General,"Search
yes
yes",,,
Deployed Items,General,"Page Navigations
yes
yes",,,
Deployed Items,General,"Edit Project
yes",,,
Deployed Items,General,Notification Emails,,,
Deployed Items,General,"Download excess and Bom Template, fill and upload.
## CRM SANITY TESTS:",,,
Deployed Items,General,Feature/Flow,,,
Deployed Items,General,Stage,,,
Deployed Items,General,Production,,,
Deployed Items,General,Remarks,,,
Deployed Items,General,"Create BOM in MC1, check in xcrm and new crm
yes
yes",,,
Deployed Items,General,"Create RFQ in MC1, check in xcrm and crm
yes
yes",,,
Deployed Items,General,"Upload BOM from CRM
yes
yes",,,
Deployed Items,General,Page Navigations,,,
Deployed Items,General,"Yes
yes",,,
Deployed Items,General,"Deep links for Accounts, RFQs, Quotes and Orders
yes",,,
Deployed Items,General,"Edit Project
yes
yes",,,
Deployed Items,General,"Global Search
yes
yes",,,
Deployed Items,General,"Filters
yes",,,
Deployed Items,General,"Sorting of tables
yes",,,
Deployed Items,General,"Page Search
yes
yes",,,
Deployed Items,General,"Download excess and Bom Template, fill and upload.",,,
