Section,Category,Item_Description,Status_Value,Owner,Links
Metadata,Release Info,Environment,Stage,,
Metadata,Release Info,Status,Good,,
Metadata,Release Info,Prod release owner,"@Umamahesh ,  @Deepti Vaidyula",,
Metadata,Release Info,Release date,2025.07.22,,
Metadata,Release Info,DB changes,Connect : release/2025.07.22,,
Metadata,Release Info,Platform,release/2025.07.22,,
Metadata,Release Info,Notification, No changes,,
Metadata,Release Info,Branch,release/2025.07.22,,
Artefacts,Artefacts,fn-notification-common-service,2025.07.22.1,,
Artefacts,Artefacts,fn-notification-dispatcher,2025.07.22.1 fn-notification-publishe,,
Artefacts,Artefacts,r,2025.07.22.1,,
Artefacts,Artefacts,Chip1 Lookup,2025.07.22.0,,
Artefacts,Artefacts,Chip1 Account,2025.07.22.8,,
Artefacts,Artefacts,Chip1 MC1 Core,2025.07.22.0,,
Artefacts,Artefacts,Chip1 Part,2025.07.22.0,,
Artefacts,Artefacts,Chip1 Transaction,2025.07.22.5,,
Artefacts,Artefacts,Chip1 WebUI,2025.07.22.6,,
Artefacts,Artefacts,Chip1 CRM WebUI,2025.07.22.6,,
Artefacts,Artefacts,Production Test Data,,,
Artefacts,Artefacts,Update production test data generated here,https://docs.google.com/spreadsheets/d/1jQQV8nW7Rlz6OD6bs4qdRfk517clUb5TRfFz47FoR3s/edit?gid=0#gid=0,,
Artefacts,Artefacts,QE documentation link,https://altirllc.sharepoint.com/:w:/r/sites/Altir-Chip1/Shared%20Documents/General/Quality%20Engineering/Project%20documents/Chip1%20QE%20Documentation.docx?d=w75141a22221e423a9dd922e367268bb5&csf=1&web=1&e=gWiCGh,,
Deployed Items,General,Account Contact association missing - Done,,,
Deployed Items,General,Contact failing for duplicate dummy email issue - Done,,,
Deployed Items,General,Adding Index - Done and waiting for validations,,,
Deployed Items,General,Account process in multi threading - Done,,,
Deployed Items,General,Concurrent event processing - Done,,,
Deployed Items,General,"User id reconciliation for all the entities - Done
//app.clickup.com/t/8651091/CHP-2536
)
//app.clickup.com/t/8651091/CHP-2481
)
//app.clickup.com/t/8651091/CHP-2479
)
//app.clickup.com/t/8651091/CHP-2496
) - Pass
//app.clickup.com/t/8651091/CHP-2460
)
//app.clickup.com/t/8651091/CHP-2456
)
//app.clickup.com/t/8651091/CHP-2522
)
//app.clickup.com/t/8651091/CHP-2523
)
//app.clickup.com/t/8651091/CHP-2524
)
//app.clickup.com/t/8651091/CHP-2537
)
//app.clickup.com/t/8651091/CHP-2527
)
//app.clickup.com/t/8651091/CHP-2548
)
//app.clickup.com/t/8651091/CHP-2552
)
//app.clickup.com/t/8651091/CHP-2560
)
//app.clickup.com/t/8651091/CHP-2564
)",,,
Deployed Items,XCRM,"Private (
)
//app.clickup.com/t/8651091/CHP-2599
)",,,https://app.clickup.com/t/8651091/CHP-2579
Deployed Items,XCRM,"Private (
)",,,https://app.clickup.com/t/8651091/CHP-2602
Deployed Items,XCRM,"Also check this release notes: Private (
)",,,https://app.clickup.com/8651091/docs/880ak-39614/880ak-45754
Deployed Items,XCRM,We have functional features from here as well.  The following is the list of functional features that also made to the release. There will be one more follow up release which fixes all open issues:,,,
Deployed Items,XCRM,ClickUp,,,
Deployed Items,XCRM,Feature,,,
Deployed Items,XCRM,Status,,,
Deployed Items,XCRM,Remarks,,,
Deployed Items,XCRM,QE,,,
Deployed Items,XCRM,"Open Issues
//app.clickup.com/t/8651091/CHP-2272
)",,,
Deployed Items,Private ( https,"Account activity
(no data. Check on Account update)",,,
Deployed Items,Private ( https,Pass with known issues,,,
Deployed Items,Private ( https,Passed with few minor issues,,,
Deployed Items,Private ( https,"Uma
//app.clickup.com/t/8651091/CHP-2528
) (Normal)
//app.clickup.com/t/8651091/CHP-2529
) (Normal)
//app.clickup.com/t/8651091/CHP-2530
) (Normal)",,,
Deployed Items,Private ( https,"Tasks
(created/assigned by, title and status)",,,
Deployed Items,Private ( https,Pass,,,
Deployed Items,Private ( https,Reported issues are fixed,,,
Deployed Items,Private ( https,"Harika
//app.clickup.com/t/8651091/CHP-2574
) (Normal)",,,
Deployed Items,Private ( https,"Company details
(Check with Sai)",,,
Deployed Items,Private ( https,Pass with known issues,,,
Deployed Items,Private ( https,"Accounts → Profile tab is hidden if company_id is not there.
//crm.stage.chip1.info/accounts/68128c6c86d6390158d8764f/profile
{$exists:true}})",,,
Deployed Items,"db.getCollection(""accounts"").find({""company""","Deepti
//app.clickup.com/t/8651091/CHP-2535
) (Normal)
//app.clickup.com/t/8651091/CHP-2478
) (Normal)
//app.clickup.com/t/8651091/CHP-2456
)",,,
Deployed Items,Private ( https,IC source,,,
Deployed Items,Private ( https,Pass,,,
Deployed Items,Private ( https,"Passed, tested by bypassing IC calls",,,
Deployed Items,Private ( https,Uma,,,
Deployed Items,Private ( https,Account - Micro Dashboard,,,
Deployed Items,Private ( https,Pass with known issues,,,
Deployed Items,Private ( https,"The cards count is matching with the list items displayed in the UI. Clicking on the card, filters the list correctly.",,,
Deployed Items,Private ( https,"Some counts are not coming up, there is a bug for that.",,,
Deployed Items,Private ( https,"Deepti
//app.clickup.com/t/8651091/CHP-2547
) (Normal)
//app.clickup.com/t/8651091/CHP-2551
)",,,
Deployed Items,Private ( https,Dashboard,,,
Deployed Items,Private ( https,"Pass with known issue
//app.clickup.com/t/8651091/CHP-2561
)",,,
Deployed Items,Private ( https,"Harika
//app.clickup.com/t/8651091/CHP-2580
) (Low)
//app.clickup.com/t/8651091/CHP-2290
)",,,
Deployed Items,Private ( https,MC1 User Invitation from CRM,,,
Deployed Items,Private ( https,Pass,,,
Deployed Items,Private ( https,Passed,,,
Deployed Items,Private ( https,"Uma
//app.clickup.com/t/8651091/CHP-2540
) (Normal)
//app.clickup.com/t/8651091/CHP-1685
)",,,
Deployed Items,Private ( https,"Contact details
(Check with Sai)",,,
Deployed Items,Private ( https,Pass,,,
Deployed Items,Private ( https,Read only mode,,,
Deployed Items,Private ( https,"Uma
//app.clickup.com/t/8651091/CHP-2539
) (normal)
//app.clickup.com/t/8651091/CHP-2541
) (Normal)
//app.clickup.com/t/8651091/CHP-2250
) (Low)
//app.clickup.com/t/8651091/CHP-2254
) (Low)
//app.clickup.com/t/8651091/CHP-2252
) (Normal)
//app.clickup.com/t/8651091/CHP-2557
) (Normal)",,,
Deployed Items,Private ( https,Date joined column should be removed from UI as there is no joining date in xCRM. - The filter also should be removed. (Normal),,,
Deployed Items,Private ( https,Tags,,,
Deployed Items,Private ( https,Working on contact tags.,,,
Deployed Items,Private ( https,RFQ - tags,,,
Deployed Items,Private ( https,Pass,,,
Deployed Items,Private ( https,Read only mode,,,
Deployed Items,Private ( https,Deepti,,,
Deployed Items,Private ( https,RFQ Part Details & Price,,,
Deployed Items,Private ( https,Pass.,,,
