Section,Category,Item_Description,Status_Value,Owner,Links
Metadata,Release Info,Environment,Stage,,
Metadata,Release Info,Status,Good,,
Metadata,Release Info,Prod release owner,"@Deepti Vaidyula ,  @Harika Guntamukkala",,
Metadata,Release Info,Release date,2025.06.26,,
Metadata,Release Info,DB changes,Connect : No changes,,
Metadata,Release Info,Platform,release/2025.06.26,,
Metadata,Release Info,Notification, No changes,,
Metadata,Release Info,Branch,release/2025.06.26,,
Artefacts,Artefacts,Chip1 MC1 Core,2025.06.26.0,,
Artefacts,Artefacts,Chip1 Part,2025.06.26.1,,
Artefacts,Artefacts,Chip1 Transaction,2025.06.26.1,,
Artefacts,Artefacts,Chip1 WebUI,2025.06.26.0,,
Artefacts,Artefacts,Chip1 CRM WebUI,2025.06.26.0,,
Artefacts,Artefacts,## LIST OF ITEMS DEPLOYED,@Harika Guntamukkala,,
Artefacts,Artefacts,Private ( https,//app.clickup.com/t/8651091/CHP-2214 ),,
Artefacts,Artefacts,Private ( https,//app.clickup.com/t/8651091/CHP-2182 ),,
Artefacts,Artefacts,Private ( https,//app.clickup.com/t/8651091/CHP-2201 ),,
Artefacts,Artefacts,Private ( https,//app.clickup.com/t/8651091/CHP-2295 ),,
Artefacts,Artefacts,Private ( https,//app.clickup.com/t/8651091/CHP-2195 ),,
Artefacts,Artefacts,Private ( https,//app.clickup.com/t/8651091/CHP-2216 ),,
Artefacts,Artefacts,Private ( https,//app.clickup.com/t/8651091/CHP-2292 ) - Updated feature flag for rfq creation on pricing tab in MC1,,
Artefacts,Artefacts,Private ( https,//app.clickup.com/t/8651091/CHP-2291 ) FundCode changes on MC1 @Deepti Vaidyula,,
Artefacts,Artefacts,Private ( https,//app.clickup.com/t/8651091/CHP-2138 ),,
Artefacts,Artefacts,Private ( https,//app.clickup.com/t/8651091/CHP-2193 ),,
Artefacts,Artefacts,Private ( https,//app.clickup.com/t/8651091/CHP-1994 ),,
Artefacts,Artefacts,Private ( https,//app.clickup.com/t/8651091/CHP-1786 ),,
Artefacts,Artefacts,Private ( https,//app.clickup.com/t/8651091/CHP-2052 ),,
Artefacts,Artefacts,Private ( https,//app.clickup.com/t/8651091/CHP-2074 ),,
Artefacts,Artefacts,Private ( https,//app.clickup.com/t/8651091/CHP-2282 ),,
Artefacts,Artefacts,Private ( https,//app.clickup.com/t/8651091/CHP-2144 ),,
Artefacts,Artefacts,Private ( https,//app.clickup.com/t/8651091/CHP-2119 ),,
Artefacts,Artefacts,Private ( https,//app.clickup.com/t/8651091/CHP-2145 ),,
Artefacts,Artefacts,Private ( https,//app.clickup.com/t/8651091/CHP-2146 ),,
Artefacts,Artefacts,Private ( https,//app.clickup.com/t/8651091/CHP-2218 ),,
Artefacts,Artefacts,Private ( https,//app.clickup.com/t/8651091/CHP-2247 ),,
Artefacts,Artefacts,Private ( https,//app.clickup.com/t/8651091/CHP-2277 ),,
Artefacts,Artefacts,Private ( https,//app.clickup.com/t/8651091/CHP-2295 ),,
Artefacts,Artefacts,Private ( https,//app.clickup.com/t/8651091/CHP-2314 ),,
Artefacts,Artefacts,Private ( https,//app.clickup.com/t/8651091/CHP-2316 ),,
Artefacts,Artefacts,Private ( https,//app.clickup.com/t/8651091/CHP-2297 ),,
Artefacts,Artefacts,Private ( https,//app.clickup.com/t/8651091/CHP-2147 ) Dev only,,
Artefacts,Artefacts,Private ( https,//app.clickup.com/t/8651091/CHP-2271 ),,
Artefacts,Artefacts,Private ( https,"//app.clickup.com/t/8651091/CHP-2304 ) - Add env-based feature flag, hide some features fon higher environments Sentry - Filter out zoho script errors on MC1 Merged as it is UX change but will be hidden for Production",,
Artefacts,Artefacts,Private ( https,//app.clickup.com/t/8651091/CHP-2100 ),,
Artefacts,Artefacts,Private ( https,//app.clickup.com/t/8651091/CHP-2270 ),,
Artefacts,Artefacts,Private ( https,//app.clickup.com/t/8651091/CHP-1908 ),,
Artefacts,Artefacts,Not enabled on prod,Contact Details,,
Artefacts,Artefacts,Private ( https,//app.clickup.com/t/8651091/CHP-2251 ),,
Artefacts,Artefacts,Private ( https,//app.clickup.com/t/8651091/CHP-1678 ),,
Artefacts,Artefacts,Private ( https,//app.clickup.com/t/8651091/CHP-1678 ),,
Artefacts,Artefacts,Private ( https,//app.clickup.com/t/8651091/CHP-2152 ),,
Artefacts,Artefacts,Private ( https,//app.clickup.com/t/8651091/CHP-2121 ),,
Artefacts,Artefacts,Private ( https,//app.clickup.com/t/8651091/CHP-2178 ),,
Artefacts,Artefacts,Private ( https,//app.clickup.com/t/8651091/CHP-2181 ),,
Artefacts,Artefacts,Bugs found on stage,,,
Artefacts,Artefacts,Private ( https,//app.clickup.com/t/8651091/CHP-2350 ),,
Artefacts,Artefacts,Private ( https,//app.clickup.com/t/8651091/CHP-2352 ),,
Artefacts,Artefacts,Bugs found on production,,,
Artefacts,Artefacts,Private ( https,"//app.clickup.com/t/8651091/CHP-2364 ) ## SANITY TESTS Feature/Flow Stage Prod Remarks New User Signup from mc1 yes Yes Mc1 user invite - signup yes Yes On stage should suffice Upload Bom & Excess and verify in CRM yes Yes Manual RFQ yes Yes Active Quote (create, edit) yes Yes Sales Order (create, edit) yes Yes Lead Account & Transfer yes Yes Bids yes Yes Parts Tracker yes (notification not working. Event routing to be disabled) Yes Search yes Yes Page Navigations yes Yes Edit Project yes Yes Notification Emails NA Yes",,
