Section,Category,Item_Description,Status_Value,Owner,Links
Metadata,Release Info,Environment,Stage,,
Metadata,Release Info,Status,Good,,
Metadata,Release Info,Prod release owner,@Deepti Vaidyula @Umamahesh,,
Metadata,Release Info,Release date,2024.11.27,,
Metadata,Release Info,DB changes,Connect : release/2024.11.27,,
Metadata,Release Info,Platform,No change,,
Metadata,Release Info,Key Clock,No change,,
Metadata,Release Info,Branch,hotfix/2024.11.27,,
Artefacts,Artefacts,Chip1 Transaction., hotfix-2024.11.27.0 ## WHAT'S FIXED FOR THE HOTFIX?,,
Artefacts,Artefacts,Private ( https,//app.clickup.com/t/8651091/CHP-1117 ) ## TESTING NOTES,,
Artefacts,Artefacts,End-to-end testing, Create Lead Account Create opportunity Convert opportunity to requirement in CRM Invite new user in mc1 and raise rfq from invited user Raise Quote Raise SO mc1 invitation from CRM existing linked account rfq-check connect logs (only CRMAccId should be passed) Create an account w/o sales person-Try if possible BOM upload-check auto rfq Add part manually to BOM Add BOM to existing Project General check on all screens Sanity tests,,
