Section,Category,Item_Description,Status_Value,Owner,Links
Metadata,Release Info,Environment,Stage,,
Metadata,Release Info,Status,Good,,
Metadata,Release Info,Prod release owner,@Deepti Vaidyula,,
Metadata,Release Info,Release date,2025.11.06,,
Metadata,Release Info,DB changes,Connect : No changes,,
Metadata,Release Info,Platform,No changes,,
Metadata,Release Info,Notification, No changes,,
Metadata,Release Info,Branch,hotfix/2025.11.06,,
Artefacts,Artefacts,Production Test Data,,,
Artefacts,Artefacts,Update production test data generated here,https://docs.google.com/spreadsheets/d/1jQQV8nW7Rlz6OD6bs4qdRfk517clUb5TRfFz47FoR3s/edit?gid=0#gid=0,,
Artefacts,Artefacts,QE documentation link,https://altirllc.sharepoint.com/:w:/r/sites/Altir-Chip1/Shared%20Documents/General/Quality%20Engineering/Project%20documents/Chip1%20QE%20Documentation.docx?d=w75141a22221e423a9dd922e367268bb5&csf=1&web=1&e=gWiCGh,,
Deployed Items,General,"Export part pricing with duplicate parts fix
## TESTING NOTES",,,
Deployed Items,General,Fixes are,verified for the download empty for duplicate parts added manually and for nexperia bom. Tested with others boms,,
Deployed Items,General,Basic sanity checks are done on crm stage,,,
Deployed Items,Seeing on production,"Seeing oops message on
but not seeing any error message in backend call. I searched with 'CN' - starts with -> Historical Activity.",,,https://crm.chip1.com/sourcing/historical-activity
